,title
PLANT-Dx: A Molecular Diagnostic for Point of Use Detection of Plant Pathogens,2
Preparation for and organization during a major incident,2
"Transmission potential of the novel coronavirus (COVID-19) onboard the Diamond Princess Cruises Ship, 2020",2
Neuronal CCL2 expression drives inflammatory monocyte infiltration into the brain during acute virus infection,2
BAR scaffolds drive membrane fission by crowding disordered domains,2
Supporting information,2
"Exacerbation of asthma and airway infection: is the virus the villain? ଝ,ଝଝ PALAVRAS-CHAVE",2
Acute respiratory viral infections in pediatric cancer patients undergoing chemotherapy ଝ,2
EMBO (Eur,2
Diagnosis and antimicrobial therapy of lung infiltrates in febrile neutropenic patients (allogeneic SCT excluded): updated guidelines of the Infectious Diseases Working Party (AGIHO) of the German Society of Hematology and Medical Oncology (DGHO) †,2
Alignment-free method for DNA sequence clustering using Fuzzy integral similarity,2
Electronic) A periodical of the Network for the Veterinarians of,2
The Brazilian Journal of INFECTIOUS DISEASES,2
Executive summary of imported infectious diseases after returning from foreign travel: Consensus document of the Spanish Society for Infectious Diseases and Clinical Microbiology (SEIMC),2
of the 5th vaccine conference organizing committee. of the 5th vaccine conference organizing committee,2
The impact of regular school closure on seasonal influenza epidemics: a data-driven spatial transmission model for Belgium,2
Research Article,2
Genetic dissection of host immune response in pneumonia development and progression OPEN,1
DC-SIGN gene promoter variants and IVIG treatment response in Kawasaki disease,1
Porcine Epidemic Diarrhea in Europe: In-Detail Analyses of Disease Dynamics and Molecular Epidemiology,1
Classification of self-assembling protein nanoparticle architectures for applications in vaccine design,1
Manuscript: A Four-Biomarker Blood Signature Discriminates Systemic Inflammation Due to Viral Infection Versus Other Etiologies Item Title Supplementary Figure S1 Pan-viral signature scores for children with and without detectable human rhinovirus (Baltimore Group IV),1
The natural compound silvestrol inhibits hepatitis E virus (HEV) replication in vitro and in vivo,1
Effect of TLR agonist on infections bronchitis virus replication and cytokine expression in embryonated chicken eggs,1
A metagenomic viral discovery approach identifies potential zoonotic and novel mammalian viruses in Neoromicia bats within South Africa,1
The Use of Nanotrap Particles in the Enhanced Detection of Rift Valley Fever Virus Nucleoprotein,1
Adoption of preventive measures during and after the 2009 influenza A (H1N1) virus pandemic peak in Spain ☆,1
A pilot study on the disinfection efficacy of localized UV on the flushing- generated spread of pathogens,1
Yeast for virus research,1
Poly(amidoamine) Dendrimer Nanocarriers and their Aerosol Formulations for siRNA Delivery to the Lung Epithelium,1
Conformational B-Cell Epitope Prediction Method Based on Antigen Preprocessing and Mimotopes Analysis,1
Changes in salivary analytes in canine parvovirus: A high-resolution quantitative proteomic study,1
A Heuristic Indication and Warning Staging Model for Detection and Assessment of Biological Events,1
Pathogenicity of severe acute respiratory coronavirus deletion mutants in hACE-2 transgenic mice,1
Comparison of severe and non-severe COVID-19 pneumonia: review and meta-analysis,1
Auxiliary activation of the complement system and its importance for the pathophysiology of clinical conditions,1
Transcriptomic Changes Due to Cytoplasmic TDP-43 Expression Reveal Dysregulation of Histone Transcripts and Nuclear Chromatin,1
Regulation of Programmed Ribosomal Frameshifting by Co-Translational Refolding RNA Hairpins,1
Protective Effect and Mechanism of Alprostadil in Acute Respiratory Distress Syndrome Induced by Oleic Acid in Rats,1
A new nidovirus (NamDinh virus NDiV): Its ultrastructural characterization in the C6/36 mosquito cell line,1
Influenza virus morphogenesis and budding,1
Identification of a Novel Base J Binding Protein Complex Involved in 2 RNA Polymerase II Transcription Termination in Trypanosomes 3 Short Title: PNUTS-PP1 Regulates Transcription Termination in T,1
Analysis of the swine tracheobronchial lymph node transcriptomic response to infection with a Chinese highly pathogenic strain of porcine reproductive and respiratory syndrome virus,1
Controlling nosocomial infection based on structure of hospital social networks,1
Infiltration of Proinflammatory M1 Macrophages into the Outer Retina Precedes Damage in a Mouse Model of Age-Related Macular Degeneration,1
A new method of assessing aerosolized bacteria generated during orthodontic debonding procedures,1
Environmental investigation of respiratory pathogens during the Hajj 2016 and 2018,1
"Type III IFN Receptor Expression and Functional Characterisation in the Pteropid Bat, Pteropus alecto",1
Duck karyopherin α4 (duKPNA4) is involved in type I interferon expression and the antiviral response against Japanese encephalitis virus,1
Next-Generation High-Throughput Functional Annotation of Microbial Genomes,1
The Journal of Infectious Diseases The Domestic Ferret (Mustela putorius furo) as a Lethal Infection Model for 3 Species of Ebolavirus,1
"Supplemental information Supplemental material and methods Experimental infection of ducks, geese and chicken with DE14-H5N8A and DE16-H5N8B 4",1
Viral Vectors,1
Respiratory Research Markers of exacerbation severity in chronic obstructive pulmonary disease,1
a section of the journal Frontiers in Microbiology Isolation and Identification of Porcine Epidemic Diarrhea Virus and Its Effect on Host Natural Immune Response,1
Evaluation of humoral immune status in porcine epidemic diarrhea virus (PEDV) infected sows under field conditions,1
Detection of swine transmissible gastroenteritis coronavirus using loop-mediated isothermal amplification,1
"Detection and genetic characterization of canine astroviruses in pet dogs in Guangxi, China",1
Inflammation and changes in cytokine levels in neurological feline infectious peritonitis,1
"Construction, expression and antiviral activity analysis of recombinant adenovirus expressing human IFITM3 in vitro",1
Vector-based genetically modified vaccines: Exploiting Jenner's legacy,1
A Simple Platform for the Rapid Development of Antimicrobials,1
THE ROLE OF CD4 T CELLS IN THE PATHOGENESIS OF MULTIPLE SCLEROSIS,1
cells Nucleolar and Ribosomal DNA Structure under Stress: Yeast Lessons for Aging and Cancer,1
Extracorporeal shockwave therapy in osteonecrosis of femoral head A systematic review of now available clinical evidences,1
Coronavirus IBV: partial amino terminal sequencing of spike polypeptide S2 identifies the sequence Arg-Arg-Phe-Arg-Arg at the cleavage site of the spike precursor propolypeptide of IBV strains Beaudette and M41,1
NTPase and 59-RNA Triphosphatase Activities of Chikungunya Virus nsP2 Protein,1
MICROARRAY ANALYSIS OF GENE EXPRESSION OF CANCER TO GUIDE THE USE OF CHEMOTHERAPEUTICS,1
An automated data processing and analysis pipeline for transmembrane proteins in detergent solutions,1
Assessment of Virally Vectored Autoimmunity as a Biocontrol Strategy for Cane Toads,1
Similar recombination-activating gene (RAG) mutations result in similar immunobiological effects but in different clinical phenotypes,1
Urbanisation and health in China,1
Antiviral and antiretroviral use in pregnancy,1
Biosynthesis of Other Secondary Metabolites,1
Passive immunization does not provide protection against experimental infection with Mycoplasma haemofelis,1
How to provide an effective primary health care in fighting against severe acute respiratory syndrome: the experiences of two cities,1
Immunogenetic Variation and Differential Pathogen Exposure in Free-Ranging Cheetahs across Namibian Farmlands,1
A dominant antigenic epitope on SARS-CoV spike protein identified by an avian single-chain variable fragment (scFv)-expressing phage,1
Chest Radiographic and CT Findings of the 2019 Novel Coronavirus Disease (COVID-19): Analysis of Nine Patients Treated in Korea,1
Occurrence and sequence analysis of porcine deltacoronaviruses in southern China,1
Retrospective testing and case series study of porcine delta coronavirus in U.S. swine herds,1
"Dynamic profiles, biodistribution and integration evaluation after intramuscular/ intravenous delivery of a novel therapeutic DNA vaccine encoding chicken type II collagen for rheumatoid arthritis in vaccinated normal rodent",1
Development and evaluation of a broadly reactive reverse transcription recombinase polymerase amplification assay for rapid detection of murine norovirus,1
"Immunization with a poly (lactide co-glycolide) encapsulated plasmid DNA expressing antigenic regions of HPV 16 and 18 results in an increase in the precursor frequency of T cells that respond to epitopes from HPV 16, 18, 6 and 11",1
Métapneumovirus humain Human metapneumovirus,1
Use of Unamplified RNA/cDNA-Hybrid Nanopore Sequencing for Rapid Detection and Characterization of RNA Viruses Technical Appendix Viral Growth and RNA Isolation,1
"BMC Public Health Gatekeepers of health: A qualitative assessment of child care centre staff's perspectives, practices and challenges to enteric illness prevention and management in child care centres",1
Removal of bioaerosols by the combination of a photocatalytic filter and negative air ions,1
Attenuation of acute lung injury in mice by oxymatrine is associated with inhibition of phosphorylated p38 mitogen-activated protein kinase,1
SNAD: sequence name annotation-based designer,1
The Alignment of the Physical and Genetical Maps of Bacteriophage T4 Morphological Aspects of Cell Transformation,1
A Scorpion Defensin BmKDfsin4 Inhibits Hepatitis B Virus Replication in Vitro,1
The Influence of Social-Cognitive Factors on Personal Hygiene Practices to Protect Against Influenzas: Using Modelling to Compare Avian A/H5N1 and 2009 Pandemic A/H1N1 Influenzas in Hong Kong,1
Is There Any Role of Inhalational Corticosteroids in the Prophylaxis of Post- Traumatic Fat Embolism Syndrome?,1
ARTICLE Junctional and allele-specific residues are critical for MERS-CoV neutralization by an exceptionally potent germline-like antibody,1
Defensins Potentiate a Neutralizing Antibody Response to Enteric Viral Infection,1
Modeling monthly flows of global air travel passengers: An open-access data resource-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),1
An assessment on the role of endophytic microbes in the therapeutic potential of Fagonia indica Annals of Clinical Microbiology and Antimicrobials,1
"Epidemiological parameter review and comparative dynamics of influenza, respiratory syncytial virus, rhinovirus, human coronavirus, and adenovirus",1
Prevalence and control of bovine cryptosporidiosis in German dairy herds,1
Efficacy of traditional Chinese medication Tangminling pill in Chinese patients with type 2 diabetes,1
Genetic regulation of class I major histocompatibility complex (MHC) antigen induction on astrocytes,1
"Frequency of human bocavirus (HBoV) infection among children with febrile respiratory symptoms in Argentina, Nicaragua and Peru",1
Clinical and virological factors associated with gastrointestinal symptoms in patients with acute respiratory infection: a two-year prospective study in general practice medicine,1
Prevalence and phylogenetic analysis of porcine diarrhea associated viruses in southern China from 2012 to 2018,1
"HCV INFECTION COMPLICATED WITH NEPHROTIC SYNDROME, IMMUNE COMPLEX CRESCENTIC GLOMERULONEPHRITIS AND ACUTE RENAL FAILURE: A CASE REPORT",1
MicroRNA-155 enhances T cell trafficking and antiviral effector function in a model of coronavirus-induced neurologic disease,1
Determinants of Mouse Hepatitis Virus 3C-like Proteinase Activity,1
Hemiacetal stabilization in a chymotrypsin inhibitor complex and the reactivity of the hydroxyl group of the catalytic serine residue of chymotrypsin,1
Fatal Enteritis Associated with Coronavirus Infection in Cats,1
Perceptions of hand hygiene practices in China,1
Mimicking the passage of avian influenza viruses through the gastrointestinal tract of chickens,1
Complementing conventional infectious disease surveillance with national health insurance claims data in the Republic of Korea OPEN,1
Rapid Evolution of PARP Genes Suggests a Broad Role for ADP-Ribosylation in Host-Virus Conflicts,1
Adenovirus-based vaccines against avian-origin H5N1 influenza viruses,1
Vaccination with Human Papillomavirus Pseudovirus-Encapsidated Plasmids Targeted to Skin Using Microneedles,1
Antibody-dependent infection of human macrophages by severe acute respiratory syndrome coronavirus,1
Manipulation or capitulation: virus interactions with autophagy,1
A general method for the induction and screening of antisera for cDNA-encoded polypeptides: antibodies specific for a coronavirus putative polymerase-encoding gene (Recombinant DNA; open reading frame vector; nonstructural viral proteins; cell-free protein synthesis; mouse hepatitis virus),1
Ultraviolet Light (UV) Inactivation of Porcine Parvovirus in Liquid Plasma and Effect of UV Irradiated Spray Dried Porcine Plasma on Performance of Weaned Pigs,1
Management Guidelines for Obstetric Patients and Neonates Born to Mothers With Suspected or Probable Severe Acute Respiratory Syndrome (SARS),1
"Genetic characterization and phylogenetic analysis of porcine deltacoronavirus (PDCoV) in Shandong Province, China",1
Pathogenicity and immunogenicity of attenuated porcine epidemic diarrhea virus PC22A strain in conventional weaned pigs,1
Bronchiolitis Obliterans Organizing Pneumonia in Swine Associated with Porcine Circovirus Type 2 Infection,1
Serodiagnosis of Echinococcus spp. Infection: Explorative Selection of Diagnostic Antigens by Peptide Microarray,1
"Dobrava, but not Saaremaa, hantavirus is lethal and induces nitric oxide production in suckling mice",1
Antimicrobial potential of macro and microalgae against pathogenic and spoilage microorganisms in food,1
"The use of enzyme-linked immunosorbent assay systems for serology and antigen detection in parvovirus, coronavirus and rotavirus infections in dogs in The Netherlands",1
The other side of the coin: Leveraging Epstein-Barr virus in research and therapy,1
Epidemiology of viral respiratory infections in children undergoing heart surgery,1
"Human bocavirus, coronavirus, and polyomavirus detected among patients hospitalised with severe acute respiratory illness in South Africa, 2012 to 2013",1
Identifying spatiotemporal dynamics of Ebola in Sierra Leone using virus genomes,1
Immunisation with virion-loaded plasmacytoid or myeloid dendritic cells induces primary Th-1 immune responses,1
Evaluation of Commercial Diagnostic Assays for the Specific Detection of Avian Influenza A (H7N9) Virus RNA Using a Quality-Control Panel and Clinical Specimens in China,1
"Rigidity, normal modes and flexible motion of a SARS-CoV-2 (COVID- 19) protease structure",1
High-level expression of the HIV entry inhibitor griffithsin from the plastid genome and retention of biological activity in dried tobacco leaves,1
Social Capital and Health-Protective Behavior Intentions in an Influenza Pandemic,1
Protective roles of Cordyceps on lung fibrosis in cellular and rat models,1
Airborne disinfection using microwave-based technology: Energy efficient and distinct inactivation mechanism compared with waterborne disinfection,1
Host genes regulate transcription of sperm-introduced hepatitis B virus genes in embryo,1
Antigenic structures stably expressed by recombinant TGEV-derived vectors,1
Activation of glial cells by human coronavirus OC43 infection,1
Recombinant infectious bronchitis coronavirus H120 with the spike protein S1 gene of the nephropathogenic IBYZ strain remains attenuated but induces protective immunity,1
Arenaviridae exoribonuclease presents genomic RNA edition capacity,1
Preliminary Findings of a Randomized Trial of Non- Pharmaceutical Interventions to Prevent Influenza Transmission in Households,1
Clinical management of respiratory syndrome in patients hospitalized for suspected Middle East respiratory syndrome coronavirus infection in the Paris area from 2013 to 2016,1
T-2 toxin impairment of enteric reovirus clearance in the mouse associated with suppressed immunoglobulin and IFN-γ responses,1
Title -Middle East Respiratory Syndrome Coronavirus (MERS-CoV) -Surveillance and Testing,1
Risk factors related to hepatic injury in patients with corona virus disease 2019,1
Surveillance strategy for early detection of unusual infectious disease events,1
"Characteristics of IFITM, the newly identified IFN-inducible anti-HIV-1 family proteins",1
Development of a nested PCR assay for the detection of canine coronavirus,1
TIM-family Proteins Promote Infection of Multiple Enveloped Viruses through Virion-associated Phosphatidylserine,1
Preparedness and vulnerability of African countries against introductions of 2019-nCoV,1
Chemical Linkage of Erythrocytes and Viral Antigen in the Hemolysis-in-Gel (HIG) Test for Viral Antibodies,1
Virus-induced autoimmune disease,1
REVIEW ARTICLE The Tumor Phenotype and the Human Gene Map,1
Association between passive immunity and health status of dairy calves under 30 days of age,1
"Isolation and characterization of 11 novel microsatellite loci in a West African leaf-nosed bat, Hipposideros aff. ruber",1
Nuclear targeting of the betanodavirus B1 protein via two arginine-rich domains induces G1/S cell cycle arrest mediated by upregulation of p53/p21 OPEN,1
Orphan drugs: Unmet societal need for non-profitable privately supplied new products,1
The Chinese governance system: Its strengths and weaknesses in a comparative development perspective,1
Detection of respiratory syncytial virus and rhinovirus in healthy infants,1
Chemotactic properties and absence of the formyl peptide receptor in ferret (Mustela putorius furo) neutrophils,1
"Special Article Severe Acute Respiratory Syndrome (SARS): A Review of the History, Epidemiology, Prevention, and Concerns for the Future",1
Bovine coronaviruses from the respiratory tract: Antigenic and genetic diversity,1
"Nelfinavir was predicted to be a potential inhibitor of 2019-nCov main protease by an integrative approach combining homology modelling, molecular docking and binding free energy calculation",1
Monomeric catechin and dimeric procyanidin B2 against human norovirus surrogates and their physicochemical interactions,1
The Plant Pathology Journal Development of a Rapid Detection Method for Potato virus X by Reverse Tran- scription Loop-Mediated Isothermal Amplification,1
"International research networks in viral structural proteomics: Again, lessons from SARS",1
"viruses Viruses Causing Gastroenteritis: The Known, The New and Those Beyond",1
Conversion of operating theatre from positive to negative pressure environment,1
A recombinant baculovirus-expressed S glycoprotein vaccine elicits high titers of SARS-associated coronavirus (SARS-CoV) neutralizing antibodies in mice,1
Shrinkage of Genome Size in a Plant RNA Virus upon Transfer of an Essential Viral Gene into the Host Genome,1
Integration of halofuginone lactate treatment and disinfection with p-chloro-m-cresol to control natural cryptosporidiosis in calves,1
"Cross-Reactivity of TCR Repertoire: Current Concepts, Challenges, and implication for Allotransplantation",1
Insights into N-calls of mitochondrial DNA sequencing using MitoChip v2.0,1
UK Pigs at the Time of Slaughter: Investigation into the Correlation of Infection with PRRSV and HEV,1
ICU = intensive care unit,1
"Community responses during the early phase of the COVID-19 epidemic in Hong Kong: risk 1 perception, information exposure and preventive measures 2 3 Background: Community responses are important for outbreak management during the early phase",1
Development of a quantitative loop- mediated isothermal amplification assay for the field detection of Erysiphe necator,1
Isotype-speci®c antibody-secreting cells in systemic and mucosal associated lymphoid tissues and antibody responses in serum of conventional pigs inoculated with PEDV,1
Point-of-care testing (POCT): Current techniques and future perspectives,1
"Prevalence of major depressive disorder and socio-demographic correlates: Results of a representative household epidemiological survey in Beijing, China",1
Evaluating the 3C-like protease activity of SARS-Coronavirus: Recommendations for standardized assays for drug discovery,1
Partial RdRp sequences offer a robust method for Coronavirus 1 subgenus classification. 2 Running title: Subgenus inference using Coronavirus RdRp,1
Results From the First Six Years of National Sentinel Surveillance for Influenza in Kenya,1
"Clean Care is Safer Care: a worldwide priority Panel: Country-level activities to achieve Global Patient Safety Challenge, ""Clean Care is Safer Care""",1
"Beclin orthologs: integrative hubs of cell signaling, membrane trafficking, and physiology",1
Animal models of Multiple Sclerosis,1
Title: Serial interval of novel coronavirus (COVID-19) infections Correspondence to,1
Relación entre asma e infecciones virales,1
Communicating uncertainty -how Australian television reported H1N1 risk in 2009: a content analysis,1
Suppression of SARS-CoV entry by peptides corresponding to heptad regions on spike glycoprotein,1
"R E V I E W Functional aspects, phenotypic heterogeneity, and tissue immune response of macrophages in infectious diseases",1
Chicken Interferon-Inducible Transmembrane Protein 3 Restricts Influenza Viruses and Lyssaviruses In Vitro,1
Revisiting the melamine contamination event in China: implications for ethics in food technology,1
Multifunctional roles of leader protein of foot-and-mouth disease viruses in suppressing host antiviral responses,1
Respiratory Research Systems biology coupled with label-free high-throughput detection as a novel approach for diagnosis of chronic obstructive pulmonary disease,1
Inhibition of hepatitis B virus gene expression and replication by endoribonuclease-prepared siRNA,1
The role of immunity in susceptibility to respiratory infection in the aging lung,1
Human coronaviruses: Viral and cellular factors involved in neuroinvasiveness and neuropathogenesis,1
Update on bacterial pathogens: virulence and resistance Cercenado E et al. Update on bacterial pathogens: virulence and resistance Enferm Community-acquired methicillin-resistant Staphylococcus aureus,1
Organoids -New Models for Host-Helminth Interactions Trends in Parasitology,1
A systematic review of FTA cards® as a tool for viral RNA preservation in fieldwork: Are they safe and effective?,1
Pharmacologic Advances in Canine and Feline Reproduction,1
siVirus: web-based antiviral siRNA design software for highly divergent viral sequences,1
Phylogenetic and recombination analysis of Tobacco bushy top virus in China,1
Structural and functional conservation of the programmed -1 ribosomal frameshift signal of SARS-CoV-2,1
Virology Journal Proteomics computational analyses suggest that baculovirus GP64 superfamily proteins are class III penetrenes,1
Rapid detection of MERS coronavirus-like viruses in bats: potential for tracking MERS coronavirus transmission and animal origin,1
Neurovirulence properties of recombinant vesicular stomatitis virus vectors in non-human primates,1
Early Days of Food and Environmental Virology,1
In Vitro Anti-rotaviral Activity of Achillea kellalensis,1
EPS8 facilitates uncoating of influenza A virus,1
Twelve Essentials of Science-based Policy • Centers for Disease Control and Prevention 7,1
Journal Pre-proof Controversial commentary Controversial commentary Controversial commentary Controversial commentary,1
The level of decoy epitope in PCV2 vaccine affects the neutralizing activity of sera in the immunized animals,1
EXPERIMENTAL AND THERAPEUTIC MEDICINE Glycyrrhizin improves p75NTR-associated sciatic nerve regeneration in a BALB/c mouse model,1
Original Article Clinical Microbiology Analytical and Clinical Validation of Six Commercial Middle East Respiratory Syndrome Coronavirus RNA Detection Kits Based on Real-Time Reverse- Transcription PCR,1
Characterization of Murine Hepatitis Virus (JHM) RNA from Rats with Experimental Encephalomyelitis,1
Human Subtilase SKI-1/S1P Is a Master Regulator of the HCV Lifecycle and a Potential Host Cell Target for Developing Indirect-Acting Antiviral Agents,1
Interpreting specific and general respiratory indicators in syndromic surveillance,1
Detection of Ascitic Feline Coronavirus RNA from Cats with Clinically Suspected Feline Infectious Peritonitis,1
The geometry of dependence: solitary bee larvae prioritize carbohydrate over protein in,1
Attaching-effacing Escherichia coli Infections in Cattle,1
Clinical and Laboratory Features of Severe Acute Respiratory Syndrome Vis-À -Vis Onset of Fever*,1
Public antibodies to malaria antigens generated by two LAIR1 insertion modalities,1
Strengthening the Detection of and Early Response to Public Health Emergencies: Lessons from the West African Ebola Epidemic Summary Points,1
Induction of GADD34 Is Necessary for dsRNA-Dependent Interferon-b Production and Participates in the Control of Chikungunya Virus Infection,1
Defining Pharmacological Targets by Analysis of Virus-Host Protein Interactions,1
Original Article An Improved Barcoded Oligonucleotide Primers-based Next-generation Sequencing Approach for Direct Identification of Viral Pathogens in Clinical Specimens *,1
Rapid detection of three rabbit pathogens by use of the Luminex x-TAG assay,1
A Functionally Different Immune Phenotype in Cattle Is Associated With Higher Mastitis Incidence,1
Examining the relationship between household air pollution and infant microbial nasal carriage in a Ghanaian cohort HHS Public Access,1
Myocarditis caused by Feline Immunodeficiency Virus in Five Cats with Hypertrophic Cardiomyopathy ScienceDirect,1
Aminopeptidase n-null neonatal piglets are protected from transmissible gastroenteritis virus but not porcine epidemic diarrhea virus,1
Current status and future direction of cryopreservation of camelid embryos,1
possible role of highly activated mucosal nK cells against viral respiratory infections in children undergoing haematopoietic stem cell transplantation,1
Integration of patient-reported outcomes in multiregional confirmatory clinical trials ☆,1
Evidence of translation efficiency adaptation of the coding regions of the bacteriophage lambda,1
A High-Throughput Screening Approach To Repurpose FDA-Approved Drugs for Bactericidal Applications against Staphylococcus aureus Small-Colony Variants,1
viruses Antiviral Drug Discovery: Norovirus Proteases and Development of Inhibitors,1
Unique reassortant of influenza A(H7N9) virus associated with severe disease emerging in Hong Kong,1
Coronavirus Genomics and Bioinformatics Analysis,1
Acute Bronchitis: Results of U.S. and European Trials of Antibiotic Therapy,1
Increased pulmonary secretion of tumor necrosis factor-a in calves experimentally infected with bovine respiratory syncytial virus,1
Early respiratory viral infections in infants with cystic fibrosis,1
Influenza A Virus Polymerase Recruits the RNA Helicase DDX19 to Promote the Nuclear Export of Viral mRNAs OPEN,1
The impact of skin banking and the use of its cadaveric skin allografts for severe burn victims in Singapore,1
Induction of type I interferons by a novel porcine reproductive and respiratory syndrome virus isolate,1
TOURISM AND GLOCALIZATION ''Local'' Tour Guiding,1
Emergence of a Large-Plaque Variant in Mice Infected with Coxsackievirus B3,1
BMC Infectious Diseases The influenza pandemic preparedness planning tool InfluSim,1
Impact of viral infections in children with community- acquired pneumonia: results of a study of 17 respiratory viruses,1
Bid Regulates the Pathogenesis of Neurotropic Reovirus,1
Characterization of the Filovirus-Resistant Cell Line SH-SY5Y Reveals Redundant Role of Cell Surface Entry Factors,1
Analysis of protein expression changes of the Vero E6 cells infected with classic PEDV strain CV777 by using quantitative proteomic technique,1
The role of microglia in viral encephalitis: a review,1
Vaccine manufacturing,1
The Prevalence and Significance of HTLV-I/II Seroindeterminate Western Blot Patterns,1
"Synthesis, cytostatic and anti-HIV evaluations of the new unsaturated acyclic C-5 pyrimidine nucleoside analogues",1
Acute Respiratory Distress Syndrome Induced by a Swine 2009 H1N1 Variant in Mice,1
Susceptibility of Rats of Different Ages to Inoculation with Swine Haemagglutinating Encephalomyelitis Virus (a Coronavirus) by Various Routes,1
Ocular Examination and Cor neal Surface Disease in the Ferret,1
Managing Recalls and Withdrawals of Blood Components,1
Two RNA-binding sites in plant fibrillarin provide interactions with various RNA substrates,1
2 Division of Global Health Protection,1
Effect of Saccharomyces boulardii Supplementation on Performance and Physiological Traits of Holstein Calves under Heat Stress Conditions,1
Cardiovascular & Hematological Agents in Medicinal Chemistry The journal for current and in-depth reviews on Cardiovascular & Hematological Agents Send Orders for Reprints to reprints@benthamscience.net Artificial Blood: A Futuristic Dimension of Modern Day Transfusion Sciences,1
The C-Terminal Sequence of IFITM1 Regulates Its Anti-HIV-1 Activity,1
Characterization and Vaccine Potential of Outer Membrane Vesicles Produced by Haemophilus parasuis,1
"SARS-CoV-2 infection does not significantly cause acute renal injury: an analysis of 116 hospitalized patients with COVID-19 in a single hospital, Wuhan, China",1
Roles of sunlight and natural ventilation for controlling infection: historical and current perspectives,1
viruses Hepatitis E Virus Replication,1
Viral triggers of multiple sclerosis,1
Lung ultrasound imaging in avian influenza A (H7N9) respiratory failure Lung ultrasound imaging in avian influenza A (H7N9) respiratory failure,1
"Mouse hepatitis virus (MHV-4, JHM) blocks y-interferon-induced major histocompatibility complex class II antigen expression on murine cerebral endothelial cells",1
An Extended Outbreak of Infectious Peritonitis in a Closed Colony of European Wildcats (Fells silvestris),1
Estimates of the risk of large or long-lasting outbreaks of Middle East respiratory syndrome after importations outside the Arabian Peninsula,1
